record_id,study_label,title,year,journal,doi,mmat_category,screen_clear_question,screen_data_address_question,c1,c2,c3,c4,c5,rationale_c1,rationale_c2,rationale_c3,rationale_c4,rationale_c5,mmat_overall,criteria_note,applies_prediction_appraisal,probast_participants,probast_predictors,probast_outcome,probast_analysis,probast_overall_rob,probast_overall_applicability,probast_rationale,tripod_ai_data,tripod_ai_model,tripod_ai_validation,tripod_ai_transparency,tripod_ai_overall,reviewer_id,assessed_at,appraisal_note,pilot_batch
REC-AIBIOGU-000015,Zhou2026,Network toxicology & molecular docking: endocrine-disrupting chemicals induce prostate cancer - a system study.,2026,Int J Clin Exp Pathol,10.62347/pgnw5316,non_randomized,yes,yes,cant_tell,yes,yes,cant_tell,yes,"Public GEO discovery (GSE46602/GSE55945) + 3 validation cohorts, convenience samples.",Transcriptomic/network toxicology features and PCa diagnosis endpoint appropriate.,5 datasets integrated with reasonably complete reporting.,No clinical covariate adjustment beyond gene expression classification (diagnostic biomarker focus).,Molecular docking and stacking ensemble followed stated computational protocol.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Small public microarray/GEO datasets pooled with stacking ensemble across cohorts (AUC>0.90); still small-sample high-dimensional mining typical of corpus.,yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000016,Luo2026,A novel prognostic signature based on mitochondrial permeability transition-driven necrosis genes for biochemical recurrence prediction in prostate cancer.,2026,Front Oncol,10.3389/fonc.2026.1775602,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"TCGA-PRAD public training cohort (n=396), convenience sample.",MPT-DN gene features and BCR-FS endpoint (per AUA 2019) appropriate.,TCGA (n=396) + GSE70768 (n=111) with harmonized follow-up.,"Independent prognostic factors (risk score, Gleason, T stage, PSA) confirmed via multivariate Cox.",WGCNA/DE/Cox/ML pipeline followed stated protocol; protein expression validated PCa vs normal tissue.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"TCGA train + GSE70768 external validation present, but discrimination modest (AUC 0.65-0.70) reflecting typical omics signature analysis-domain risk.",yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,Modest discrimination (AUC ~0.65-0.70) despite genuine external validation cohort.,batch-01
REC-AIBIOGU-000017,Ding2026,Development and validation of an MRI radiomics-based model for predicting progression risk in prostate cancer after endocrine therapy.,2026,Transl Androl Urol,10.21037/tau-2025-1-912,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"Small retrospective cohort (n=136+52), single/dual-center, potential selection bias.",MRI radiomics + clinicopathological features and PFS endpoint appropriate.,Training/internal/external cohorts reasonably complete; median follow-up reported.,"Multivariable independent predictors (PSA nadir, Gleason, T stage, bone metastasis) combined with radiomics.",Standardized radiomics extraction and nomogram construction followed stated protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"Genuine external validation cohort (n=52, C-index 0.795) present, but overall small sample (n=136 total training+internal) and drop from training (0.884) to external C-index (0.795) suggests some overfitting.",yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000025,Kilicarslan2026,"Bioinformatics and machine learning integration reveals a novel 4-gene (GFUS, ARHGAP8, NBL1, and ACTB) biomarker model for prostate cancer.",2026,Discov Oncol,10.1007/s12672-025-04369-z,non_randomized,yes,yes,cant_tell,yes,yes,cant_tell,yes,"Combined small public GEO microarray cohorts (n=179), convenience/batch-affected.",Gene expression features and cancer/non-cancer diagnostic labels appropriate.,"179 discovery + 50 independent validation samples, reasonably complete.",Batch used as covariate but no clinical confounder adjustment beyond diagnosis label; small samples.,Novel graph-convolutional feature selection + hybrid RF-LightGBM followed stated protocol.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Small combined microarray cohorts with ensemble stacking (discovery AUC 0.96); independent GSE46602 validation (AUC 0.90) present but still small-sample high-dim mining.,yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000027,Xue2026,Multi-omics analyses related to unfolded protein response in prostate cancer implicate pro-tumor role of IFRD1.,2026,Front Immunol,10.3389/fimmu.2026.1744197,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"TCGA training + public GEO cohorts, convenience samples.",UPR-related gene features (single-cell + bulk) and BCR/survival endpoints appropriate.,"TCGA training + 3 external validation cohorts, reasonably complete.",Multivariate Cox confirmed UPRRS independent of clinical stage and Gleason score.,In silico + in vitro IFRD1 knockdown validation followed stated protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"TCGA train + 3 external GEO cohorts (C-index>0.82, AUC>0.80); still multi-algorithm consensus signature mining typical of corpus.",yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,"TCGAplot package code available on GitHub, but this is a supporting visualization tool rather than the full model pipeline.",batch-01
REC-AIBIOGU-000028,Wang2026,Palmitoylation-related gene expression and its prognostic value in prostate cancer: insights into immune infiltration and therapeutic potential.,2026,Transl Androl Urol,10.21037/tau-2025-477,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"TCGA + multiple public/commercial databases (DKFZ, MSKCC, GEO, ArrayExpress, PCaProfiler, PCaDB), convenience.",Palmitoylation-related gene features and BCR endpoint appropriate.,"TCGA training + multiple external cohorts, extensive clinical annotation.","10-algorithm ensemble; risk stratified by age, stage, node, PSA, Gleason.",CHRNA2 knockdown validated in cell lines and human samples per stated protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"Extensive external validation (DKFZ, MSKCC, E-MTAB-6128, GSE70768) but 10-algorithm combination mining is a strong overfitting-risk signal typical of the corpus.",yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000029,Li2026,Genetic relationships between the gut microbiota and prostate cancer: Mendelian randomization combined with bioinformatics analysis.,2026,Aging Male,10.1080/13685538.2026.2615561,non_randomized,yes,yes,cant_tell,yes,yes,cant_tell,yes,"Small public GEO datasets (train 3 + validation 1) plus GWAS summary statistics (FINRISK), convenience.",Mendelian randomization + DEAG features and PCa diagnosis endpoint appropriate.,"Multiple GEO datasets integrated, reasonably complete reporting.",MR causal inference is separate from prediction-model confounding; nomogram feature selection not clearly confounder-adjusted.,MR + ML pipeline followed stated protocol.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,External validation reported an implausible AUC=1.0 for one feature gene in a small GEO validation set — strong overfitting/small-sample red flag.,partial,yes,yes,partial,partial,REV-ALCIDES-AI,2026-09-22,External validation AUC=1.0 for one feature gene is implausible/overfitting red flag; diagnostic performance claims should be treated cautiously.,batch-01
REC-AIBIOGU-000031,Ge2026,Integrative single-cell and spatial transcriptomics with explainable AI reveal lethal prognostic axis in prostate cancer.,2026,NPJ Digit Med,10.1038/s41746-025-02297-4,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"Merged public single-cell/spatial + bulk transcriptomic cohorts, convenience sample.",Explainable-AI (SHAP) derived risk score and RFS endpoint appropriate.,"Merged training + TCGA-PRAD/MSKCC/GSE70770 external cohorts, reasonably complete.","HR adjusted for age, Gleason score, T stage in multivariate analysis.",Single-cell/spatial pipeline and explainable AI followed stated protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"Multiple independent external cohorts (TCGA-PRAD, MSKCC, GSE70770; AUC 0.70-0.85) validate the C4-based risk score; still SHAP/explainable-AI mining across combined public data.",yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000032,Morgan2025,Development and Validation of a Multimodal Artificial Intelligence-derived Digital Pathology-based Biomarker Predicting Metastasis Among Patients with Biochemical Recurrence After Radical Prostatectomy in NRG/RTOG Trials.,2025,Eur Urol,10.1016/j.eururo.2025.12.007,non_randomized,yes,yes,yes,yes,yes,yes,yes,"Locked MMAI model (v1.1) validated in prespecified, well-characterized NRG/RTOG randomized-trial-derived cohort (n=533); high-quality trial-collected data.","Digital pathology + clinical variables (Grade Group, T-stage, PSA, age, margin) appropriate and prespecified.",Median follow-up 9.3 years from cooperative-group trial data; low expected missingness.,Subdistribution HR adjusted for clinical variables and treatment via Cox regression.,"Locked, prespecified model version applied without further tuning.",high,MMAT non-randomized (Hong 2018); exceptional case per calibration note 2 given locked-model validation in randomized trial cohort.,yes,low,low,low,unclear,unclear,low concern,Trial-derived cohort with prespecified locked model is low risk of bias for participants/predictors/outcome domains; analysis marked unclear because standard calibration plots were not used and probability calibration was not explicitly assessed.,yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,"Strongest study in batch: locked biomarker model externally validated in NRG/RTOG randomized-trial cohorts (tdAUC 0.74 vs 0.68 clinical nomogram); data available by request from NCTN/NRG only (not fully open), so transparency marked partial.",batch-01
REC-AIBIOGU-000034,Lin2025,Senescence-related gene signature predicts prostate cancer progression and identifies PCNA as a therapeutic target via multi-omics machine learning integration.,2025,Br J Cancer,10.1038/s41416-025-03309-6,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"6 public cohorts + in-house SYSU-PRAD cohort (n=90), convenience samples.",Senescence-related gene features and BCR endpoint appropriate.,"TCGA training + 5 external cohorts + in-house cohort, reasonably complete.",Temporal trajectory and cohort-specific cutoffs adjusted for context; consistent across cohorts.,In vitro/in vivo PCNA functional validation followed stated protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,117 machine learning methods benchmarked to select best model — substantial multiple-model-selection/overfitting risk despite 6 external cohorts + in-house validation.,yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000036,Yang2025,A New Radiotranscriptomic Approach to Analyze Combined Sets of T3b Stage-Specific Genes and Radiomic Features in Prostate Cancer.,2025,Cancer Rep (Hoboken),10.1002/cnr2.70391,non_randomized,yes,yes,cant_tell,yes,cant_tell,no,yes,"Very small prospective single-center cohort (n=48), imbalanced 35 T2c vs 13 T3b.",CEUS radiomics + transcriptomic features and staging outcome appropriate.,Small imbalanced sample may limit reliability of reported outcome completeness.,No external validation; authors explicitly flag need for multi-ethnic validation in larger cohorts due to small T3b subgroup.,Prospective protocol with IRB approval followed as stated.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"Very small imbalanced sample (n=48, 13 T3b) with near-perfect AUCs (up to 0.998) in several classifiers — strong overfitting signal; no external validation.",partial,yes,no,no,partial,REV-ALCIDES-AI,2026-09-22,"Very small sample (n=48, 13 T3b), near-perfect AUCs (0.99+) suggest high overfitting risk; no external validation; data not publicly available.",batch-01
REC-AIBIOGU-000037,Marouf2025,Identification of Potential Biomarkers in Prostate Cancer Microarray Gene Expression Leveraging Explainable Machine Learning Classifiers.,2025,Cancers (Basel),10.3390/cancers17233853,non_randomized,yes,yes,cant_tell,yes,yes,no,yes,"Small single tissue-microarray dataset (n=102, GSE68907), convenience sample.",XML classifier features and severity/diagnosis labels appropriate.,"102 samples with SMOTE-balanced classes, reasonably complete.",No external validation cohort; only stratified k-fold CV within single small dataset; SMOTE oversampling increases overfitting risk.,ML pipeline with SHAP explainability followed stated protocol; full code published.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Small single-dataset sample (n=102) with SMOTE oversampling and no external validation cohort; k-fold CV only.,yes,yes,no,yes,adequate,REV-ALCIDES-AI,2026-09-22,Full analysis code published on GitHub (strong transparency) but no external validation cohort; small n=102.,batch-01
REC-AIBIOGU-000038,Chen2025,Identification of programmed cell death associated key genes in benign prostatic hyperplasia and prostate cancer development by integrated bioinformatics analysis and machine learning.,2025,Transl Androl Urol,10.21037/tau-2025-527,non_randomized,yes,yes,cant_tell,yes,yes,no,yes,"Small public GEO datasets (GSE119195, GSE55597), convenience samples.",PCD-related gene features and BPH/PCa risk labels appropriate.,Reasonably complete reporting across both GEO datasets.,No genuinely independent external cohort; near-perfect AUC (1.0) in GSE119195 explicitly flagged by authors as implausible and requiring further validation.,Four-ML-method feature reduction followed stated protocol.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Authors themselves note the perfect AUC (1.0) in GSE119195 warrants further validation in larger independent cohorts — strong self-acknowledged overfitting signal.,yes,yes,partial,partial,partial,REV-ALCIDES-AI,2026-09-22,Authors explicitly flag AUC=1.0 in GSE119195 as implausible; no genuine independent external cohort beyond the two source GEO datasets used for cross-comparison.,batch-01
REC-AIBIOGU-000039,Liao2025,Methylation-based signature to distinguish indolent and aggressive prostate cancer.,2025,Biol Open,10.1242/bio.062281,non_randomized,yes,yes,cant_tell,yes,yes,no,yes,"Single retrospective institutional cohort (n=120), no external population.",Whole-genome enzymatic methylation sequencing features and progression endpoint appropriate.,"Long-term clinical follow-up reported, reasonably complete.",Only internal split by intermediate-risk stratum used as 'validation'; authors note limited statistical power from cohort size; no independent external cohort.,EM-seq methodology and ML biomarker selection followed stated protocol.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Single-center n=120 cohort; validation cohort is an internal risk-stratum subset rather than a genuinely independent external cohort; authors note power limitations.,yes,yes,no,yes,adequate,REV-ALCIDES-AI,2026-09-22,Code/figures available via GitHub (good transparency); no true external cohort — validation was an internal intermediate-risk subgroup split.,batch-01
REC-AIBIOGU-000041,Wang2025,Integrated Analysis of Single-Cell RNA Sequencing and Machine Learning Reveals a T Cell-Specific PANoptosis Signature Predicting Prognosis and Immunotherapy in Prostate Cancer.,2025,Hum Mutat,10.1155/humu/8889021,non_randomized,yes,yes,cant_tell,yes,yes,no,yes,TCGA training and scRNA discovery cohorts may not represent all PCa patients.,Expression and immunotherapy endpoints fit the prognostic question.,Registry survival and immunotherapy cohorts report outcome data adequately.,101-model screen without full independent lock before validation.,Signature built from predefined scRNA-T cell gene pipeline as described.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,High ROB from cohort selection and algorithm mining with median risk split.,yes,yes,yes,no,adequate,REV-ALCIDES,2026-09-21,,pilot
REC-AIBIOGU-000042,Zhai2025,Quantification of intratumoral heterogeneity using habitat-based MRI radiomics for predicting high-Gleason scores and castration-resistant PCa: retrospective study.,2025,BMC Cancer,10.1186/s12885-025-15300-8,non_randomized,yes,yes,cant_tell,yes,yes,no,yes,"Single-center retrospective cohort (n=264), selection bias risk explicitly noted by authors.",Habitat MRI radiomics features and high-GS/CRPC endpoints appropriate.,Task 2 CRPC subgroup has only 25 events among 142 followed patients — limited outcome completeness for that task.,No external validation cohort; authors explicitly state external validation and prospective studies are needed.,Standardized MRI feature extraction followed stated protocol.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"Single-center retrospective design with only internal 7:3 split; Task 2 has only 25 CRPC events, raising overfitting concern; authors explicitly flag lack of external validation as a limitation.",yes,yes,partial,no,partial,REV-ALCIDES-AI,2026-09-22,"Single-center retrospective; Task 2 CRPC subgroup has only 25 events (n=142 followed), high overfitting risk; authors explicitly state need for external validation.",batch-01
REC-AIBIOGU-000043,Tang2025,Unveiling prognostic biomarkers and immunotherapeutic insights in prostate cancer through multi-omics and machine learning.,2025,Eur J Med Res,10.1186/s40001-025-03363-z,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"TCGA training + public GEO/DKFZ cohorts, convenience samples.",Multi-omics (bulk+single-cell) immune/prognostic gene features and BCR endpoint appropriate.,"TCGA training + DKFZ + GSE116918 external cohorts, reasonably complete.",Multivariate analysis supports IPRS as independent prognostic marker; clinical nomogram integrates covariates.,BCAM expression/function validated in cells and tissue per stated protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,14 algorithms/162 combinations benchmarked (extensive mining) though validated in DKFZ and GSE116918 external cohorts.,yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000044,Ji2025,PA2G4 in CAFs promotes biochemical recurrence of prostate cancer via H3K18la.,2025,Cell Biosci,10.1186/s13578-025-01485-9,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"TCGA training + public GEO cohorts (single-cell + bulk), convenience samples.",CAF lactate-metabolism transcriptomic features and BCR endpoint appropriate.,"TCGA training + 3 external testing cohorts (GSE54460, GSE116918, GSE70769), reasonably complete.","Nomogram incorporates Gleason grade, PSA, T-stage alongside LMCAFCPI; IMvigor210 used for immunotherapy relevance.","PA2G4 knockdown, CUT-TAG, and functional assays followed stated protocol.",moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,3 external testing cohorts validate LMCAFCPI; still multi-algorithm mining (best-average-C-index selection) typical of corpus.,yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000047,Zhao2025,Identification and validation of the PARP inhibitor-related gene KANK3 for predicting prognosis and immunotherapeutic response in prostate cancer.,2025,J Cancer,10.7150/jca.113546,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"TCGA + cBioPortal/GEO public cohorts, convenience samples.",PARP-inhibitor-related gene features and BCRFS endpoint appropriate.,"TCGA training + GSE70769/GSE189186 external validation, reasonably complete.",Independent validations across multiple external cohorts using C-index as evaluative metric.,Cell experiments (proliferation/migration/invasion) for KANK3 followed stated protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"Multiple external validation cohorts (GSE70769, GSE189186) present; random forest selection among multiple ML frameworks is typical mining-related risk.",yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000050,Wang2025,Development of a prostate cancer biochemical recurrence risk signature using machine learning and motor protein-related genes.,2025,PLoS One,10.1371/journal.pone.0332747,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"TCGA (n=321) + MSKCC2010 (n=140) + GSE70769 (n=92), public convenience cohorts.",Motor-protein-related gene features and BCR endpoint appropriate.,"Three-cohort data with cross-cohort batch correction, reasonably complete.",StepCox+Ridge model selected via C-index across cohorts; nomogram integrates T stage.,In vitro validation of MPRG expression trends confirmed bioinformatic findings.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,117 algorithm combinations screened (extensive mining); MSKCC2010 and GSE70769 serve as genuine external validation cohorts.,yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
