hit_key	source	ext_id	title	pub_year	journal	doi	decision	exclusion_reason_code	note	screen_source
MED:14989489	MED	14989489	Classification of prostatic carcinoma with artificial neural networks using comparative genomic hybridization and quantitative stereological data.	2003	Pathol Res Pract	10.1078/0344-0338-00496	Included		Support-vector and neural classifiers using comparative genomic hybridization and stereological tissue features predict pT2 versus pT3 prostate cancer with 74–80% accuracy and highlight gains and losses on 1q, 7p, and 8p.	batch-01
MED:14606364	MED	14606364	Combining artificial neural networks and transrectal ultrasound in the diagnosis of prostate cancer.	2003	Oncology (Williston Park)		Excluded	wrong publication type	This is a topical review of existing machine-learning models for prostate-biopsy prediction, kept for context rather than as an included primary study.	batch-01
MED:12576812	MED	12576812	Neural network using combined urine nuclear matrix protein-22, monocyte chemoattractant protein-1 and urinary intercellular adhesion molecule-1 to detect bladder cancer.	2003	J Urol	10.1097/01.ju.0000051322.60266.06	Excluded	wrong intervention	The network detects bladder cancer from pre-specified urine levels of NMP22, MCP-1, and ICAM-1 rather than discovering a new signature.	batch-01
MED:14518736	MED	14518736	Neural network-based assessment of prognostic markers and outcome prediction in bilharziasis-associated bladder cancer.	2003	IEEE Trans Inf Technol Biomed	10.1109/titb.2003.813796	Excluded	wrong intervention	Outcome models select among eight pre-specified clinical and pathological markers, including bilharziasis history and histologic type.	batch-01
TITLE:Urinary bladder tumor grade diagnosis using on-line trained neural networks			Urinary bladder tumor grade diagnosis using on-line trained neural networks	2003			Excluded	wrong outcome	The title describes neural-network diagnosis of urinary-bladder tumor grade, which is assisted grading without a derived biomarker.	batch-01
MED:15596191	MED	15596191	Preoperative neural network using combined magnetic resonance imaging variables, prostate-specific antigen, and gleason score for predicting prostate cancer biochemical recurrence after radical prostatectomy.	2004	Urology	10.1016/j.urology.2004.06.030	Excluded	wrong intervention	Biochemical-recurrence prediction combines reported pelvic-MRI findings with PSA and biopsy Gleason score rather than a new radiomic signature.	batch-01
MED:15066290	MED	15066290	Use of artificial neural networks to predict biological outcomes for patients receiving radical radiotherapy of the prostate.	2004	Radiother Oncol	10.1016/j.radonc.2003.03.001	Excluded	wrong intervention	The networks predict tumor control and rectal or bladder toxicity from radiotherapy dose-volume data and do not discover a biomarker.	batch-01
MED:22056212	MED	22056212	Outcome assessment of patients with metastatic renal cell carcinoma under systemic therapy using artificial neural networks.	2012	Clin Genitourin Cancer	10.1016/j.clgc.2011.10.001	Excluded	wrong intervention	Survival stratification in metastatic renal cell carcinoma uses routine clinical, pathologic, and treatment variables available at the start of systemic therapy.	batch-01
MED:26441442	MED	26441442	MAPS: A Quantitative Radiomics Approach for Prostate Cancer Detection.	2015	IEEE Trans Biomed Eng	10.1109/tbme.2015.2485779	Not_recovered		Full text not recovered 2026-09-23. No open-access PDF (IEEE TBME 2015).	maybe_ft_2026-09-23
MED:26362074	MED	26362074	Machine learning approaches to analyze histological images of tissues from radical prostatectomies.	2015	Comput Med Imaging Graph	10.1016/j.compmedimag.2015.08.002	Excluded	wrong outcome	Machine learning only labels stroma, benign epithelium, and cancer on prostatectomy images and does not derive a biomarker.	batch-01
MED:27542201	MED	27542201	An imaging-based approach predicts clinical outcomes in prostate cancer through a novel support vector machine classification.	2016	Oncotarget	10.18632/oncotarget.11293	Excluded	wrong intervention	Biochemical-recurrence prediction uses conventional MR findings, including ADC, together with clinicopathologic variables rather than a new radiomic signature.	batch-01
MED:29188191	MED	29188191	Prostate cancer radiomics and the promise of radiogenomics.	2016	Transl Cancer Res	10.21037/tcr.2016.06.20	Excluded	wrong publication type	This is a topical review of prostate MRI radiomics and radiogenomics, kept for context rather than as an included primary study.	batch-01
MED:26459038	MED	26459038	Use of Artificial Intelligence and Machine Learning Algorithms with Gene Expression Profiling to Predict Recurrent Nonmuscle Invasive Urothelial Carcinoma of the Bladder.	2016	J Urol	10.1016/j.juro.2015.09.090	Included		Genetic programming of whole-genome expression in non-muscle-invasive bladder cancer prioritized a 3- to 21-gene signature that predicted recurrence with reported sensitivity and specificity.	batch-01
MED:29854182	MED	29854182	A Multi-scale U-Net for Semantic Segmentation of Histological Images from Radical Prostatectomies.	2017	AMIA Annu Symp Proc		Excluded	wrong outcome	A U-Net segments prostatectomy histology into stroma, benign glands, and Gleason patterns and does not derive a biomarker.	batch-01
TITLE:Nuclear architecture analysis of prostate cancer via convolutional neural networks			Nuclear architecture analysis of prostate cancer via convolutional neural networks	2017	IEEE Access		Not_recovered		Full text not recovered 2026-09-23. No PMID or DOI; title search in Europe PMC returned no record.	maybe_ft_2026-09-23
MED:29133818	MED	29133818	Searching for prostate cancer by fully automated magnetic resonance imaging classification: deep learning versus non-deep learning.	2017	Sci Rep	10.1038/s41598-017-15720-y	Excluded	wrong outcome	Deep learning only distinguishes patients with prostate cancer from benign prostatic conditions on T2-weighted MRI.	batch-01
MED:30104757	MED	30104757	Automated Gleason grading of prostate cancer tissue microarrays via deep learning.	2018	Sci Rep	10.1038/s41598-018-30535-1	Excluded	wrong outcome	Deep learning assigns Gleason scores on prostate tissue microarrays, and survival separation follows that grade assignment rather than a new biomarker.	batch-01
MED:30167812	MED	30167812	Clear Cell Renal Cell Carcinoma: Machine Learning-Based Quantitative Computed Tomography Texture Analysis for Prediction of Fuhrman Nuclear Grade.	2018	Eur Radiol	10.1007/s00330-018-5698-2	Included		Machine-learning selection of CT texture features distinguished low- from high-grade clear cell renal cell carcinoma with an AUC of 0.860.	batch-01
MED:30527316	MED	30527316	Clear cell renal cell carcinoma: CT-based radiomics features for the prediction of Fuhrman grade.	2018	Eur J Radiol	10.1016/j.ejrad.2018.10.005	Included		CT radiomic features selected by LASSO discriminated low- from high-Fuhrman-grade clear cell renal cell carcinoma, with a combined-model AUC of 0.822.	batch-01
MED:29772101	MED	29772101	Computer-aided diagnosis of prostate cancer on magnetic resonance imaging using a convolutional neural network algorithm.	2018	BJU Int	10.1111/bju.14397	Excluded	wrong outcome	A convolutional network only detects prostate cancer on MRI as a computer-aided diagnosis tool.	batch-01
TITLE:H&E-stained whole slide image deep learning predicts SPOP mutation state in prostate cancer			H&E-stained whole slide image deep learning predicts SPOP mutation state in prostate cancer	2018	bioRxiv	10.1101/064279	Included		Deep learning on H&E whole slides predicted SPOP mutation in prostate cancer, with test AUROCs of 0.74 in TCGA and 0.86 in an independent cohort.	batch-01
MED:30169514	MED	30169514	Identifying the morphologic basis for radiomic features in distinguishing different Gleason grades of prostate cancer on MRI: Preliminary findings.	2018	PLoS One	10.1371/journal.pone.0200730	Included		MRI Gabor radiomic features and gland-lumen histomorphometry discriminated lower- from higher-Gleason prostate cancer, with AUCs of 0.69 and 0.75.	batch-01
MED:30332595	MED	30332595	Prediction of prostate cancer by deep learning with multilayer artificial neural network.	2018	Can Urol Assoc J	10.5489/cuaj.5526	Excluded	wrong intervention	Full text: the 22 inputs are clinical and MRI findings (age, DRE, PSA, prostate volume, DWI). LASSO selects among those predictors to detect cancer on biopsy. No new biomarker is derived.	maybe_ft_2026-09-23
MED:30840728	MED	30840728	Prostate cancer detection from multi-institution multiparametric MRIs using deep convolutional neural networks.	2018	J Med Imaging (Bellingham)	10.1117/1.jmi.5.4.044507	Excluded	wrong outcome	A convolutional network produces probability maps to localize prostate-cancer lesions on multiparametric MRI.	batch-01
MED:29908785	MED	29908785	Radio-pathomic Maps of Epithelium and Lumen Density Predict the Location of High-Grade Prostate Cancer.	2018	Int J Radiat Oncol Biol Phys	10.1016/j.ijrobp.2018.04.044	Included		Machine learning maps of epithelium and lumen density from MRI corresponded to pathologist-annotated high-grade prostate cancer.	batch-01
MED:29861410	MED	29861410	RankProd Combined with Genetic Algorithm Optimized Artificial Neural Network Establishes a Diagnostic and Prognostic Prediction Model that Revealed C1QTNF3 as a Biomarker for Prostate Cancer.	2018	EBioMedicine	10.1016/j.ebiom.2018.05.010	Included		A genetic-algorithm neural network built a 15-gene diagnostic and prognostic signature from microarray data and prioritized C1QTNF3, with reported AUCs in GEO and TCGA prostate-cancer cohorts.	batch-01
MED:31092914	MED	31092914	A new era: artificial intelligence and machine learning in prostate cancer.	2019	Nat Rev Urol	10.1038/s41585-019-0193-3	Excluded	wrong publication type	This is a topical review of artificial intelligence in prostate cancer, kept for context rather than as an included primary study.	batch-01
MED:31063138	MED	31063138	Artificial intelligence at the intersection of pathology and radiology in prostate cancer.	2019	Diagn Interv Radiol	10.5152/dir.2019.19125	Excluded	wrong publication type	This is a topical review of artificial intelligence in prostate MRI and digital pathology, kept for context rather than as an included primary study.	batch-01
MED:30914794	MED	30914794	Automated tumour budding quantification by machine learning augments TNM staging in muscle-invasive bladder cancer prognosis.	2019	Sci Rep	10.1038/s41598-019-41595-2	Included		Machine-learning quantification of tumour budding in muscle-invasive bladder cancer stratified disease-specific survival (HR 2.59) beyond TNM stage.	batch-01
MED:30919041	MED	30919041	CT-based machine learning model to predict the Fuhrman nuclear grade of clear cell renal cell carcinoma.	2019	Abdom Radiol (NY)	10.1007/s00261-019-01992-7	Included		A CT texture machine-learning classifier separated low- from high-Fuhrman-grade clear cell renal cell carcinoma, with a three-phase AUC of 0.87.	batch-01
MED:31756634	MED	31756634	Clear cell renal cell carcinoma: Machine learning-based computed tomography radiomics analysis for the prediction of WHO/ISUP grade.	2019	Eur J Radiol	10.1016/j.ejrad.2019.108738	Included		CT radiomic features predicted WHO/ISUP grade of clear cell renal cell carcinoma, with validation AUCs up to 0.978.	batch-01
MED:31238766	MED	31238766	Combination possibility and deep learning model as clinical decision-aided approach for prostate cancer.	2019	Health Informatics J	10.1177/1460458219855884	Excluded	wrong intervention	Deep learning groups patients by combinations of clinical variables to classify pT2 stage and Gleason-score change and does not discover a new biomarker.	batch-01
MED:30848813	MED	30848813	Comparison of Artificial Intelligence Techniques to Evaluate Performance of a Classifier for Automatic Grading of Prostate Cancer From Digitized Histopathologic Images.	2019	JAMA Netw Open	10.1001/jamanetworkopen.2019.0442	Excluded	wrong outcome	The classifier labels prostate-cancer histopathology patches as benign or by Gleason grade and does not derive a biomarker.	batch-01
MED:31557788	MED	31557788	Connecting Histopathology Imaging and Proteomics in Kidney Cancer through Machine Learning.	2019	J Clin Med	10.3390/jcm8101535	Included		Full text: random-forest proteomic classifier separates CPTAC ccRCC from normal kidney (AUC 0.99, 10-fold CV, 194 samples). Resolved as a diagnostic protein panel.	maybe_ft_2026-09-23
TITLE:Current and future applications of machine and deep learning in urology: a review of the literature on urolithiasis, renal cell carcinoma, and bladder and prostate cancer			Current and future applications of machine and deep learning in urology: a review of the literature on urolithiasis, renal cell carcinoma, and bladder and prostate cancer	2019	World J Urol	10.1007/s00345-019-03000-5	Excluded	wrong publication type	This is a topical review of machine learning in urolithiasis and in renal, bladder, and prostate cancer, kept for context rather than as an included primary study.	batch-01
MED:31691082	MED	31691082	Current and future applications of machine and deep learning in urology: a review of the literature on urolithiasis, renal cell carcinoma, and bladder and prostate cancer.	2019	World J Urol	10.1007/s00345-019-03000-5	Excluded	wrong publication type	This is a topical review of machine learning in urolithiasis and in renal, bladder, and prostate cancer, kept for context rather than as an included primary study.	batch-01
MED:31219658	MED	31219658	Current status of artificial intelligence applications in urology and their potential to influence clinical practice.	2019	BJU Int	10.1111/bju.14852	Excluded	wrong publication type	This is a topical review of artificial-intelligence applications in urology, kept for context rather than as an included primary study.	batch-01
MED:31098801	MED	31098801	Deep learning for automatic Gleason pattern classification for grade group determination of prostate biopsies.	2019	Virchows Arch	10.1007/s00428-019-02577-x	Excluded	wrong outcome	A convolutional network detects Gleason patterns and assigns grade group on prostate biopsies.	batch-01
TITLE:Deep learning-based Gleason grading of prostate cancer from histopathology images: role of multiscale decision aggregation and data augmentation			Deep learning-based Gleason grading of prostate cancer from histopathology images: role of multiscale decision aggregation and data augmentation	2019	IEEE J Biomed Health Inform	10.1109/jbhi.2019.2944643	Excluded	wrong outcome	Deep learning classifies benign versus cancerous prostate patches and low- versus high-grade Gleason patterns.	batch-01
MED:31304394	MED	31304394	Development and validation of a deep learning algorithm for improving Gleason scoring of prostate cancer.	2019	NPJ Digit Med	10.1038/s41746-019-0112-2	Excluded	wrong outcome	A deep-learning system scores Gleason grade on prostatectomy slides and does not report a biomarker beyond that grade.	batch-01
MED:31767543	MED	31767543	Development of a Deep Learning Algorithm for the Histopathologic Diagnosis and Gleason Grading of Prostate Cancer Biopsies: A Pilot Study.	2019	Eur Urol Focus	10.1016/j.euf.2019.11.003	Excluded	wrong outcome	A residual network classifies prostate-biopsy patches as benign or by Gleason grade.	batch-01
TITLE:Development of a deep learning algorithm for the histopathologic diagnosis and Gleason grading of prostate cancer biopsies: a pilot study			Development of a deep learning algorithm for the histopathologic diagnosis and Gleason grading of prostate cancer biopsies: a pilot study	2019	Eur Urol Focus	10.1016/j.euf.2019.11.003	Excluded	wrong outcome	The same pilot study trains a residual network to diagnose and Gleason-grade prostate-biopsy patches.	batch-01
MED:30696866	MED	30696866	Epithelium segmentation using deep learning in H&E-stained prostate specimens with immunohistochemistry as reference standard.	2019	Sci Rep	10.1038/s41598-018-37257-4	Excluded	wrong outcome	Deep learning segments epithelium on prostatectomy slides as a step toward grading and does not derive a biomarker.	batch-01
TITLE:Hybrid unified deep learning network for highly precise Gleason grading of prostate cancer			Hybrid unified deep learning network for highly precise Gleason grading of prostate cancer	2019	Conf Proc IEEE Eng Med Biol Soc	10.1109/embc.2019.8856912	Excluded	wrong outcome	A hybrid deep network grades prostate cancer on histology with a reported accuracy of about 0.98 and does not derive a biomarker.	batch-01
MED:31062459	MED	31062459	MRI-Based Radiomics Signature for the Preoperative Prediction of Extracapsular Extension of Prostate Cancer.	2019	J Magn Reson Imaging	10.1002/jmri.26777	Included		An MRI radiomics signature of 17 features predicted extracapsular extension of prostate cancer, with a validation AUC of 0.883.	batch-01
MED:31392526	MED	31392526	Machine learning applications in prostate cancer magnetic resonance imaging.	2019	Eur Radiol Exp	10.1186/s41747-019-0109-2	Excluded	wrong publication type	This is a topical review of machine learning for prostate MRI, kept for context rather than as an included primary study.	batch-01
MED:31187216	MED	31187216	Machine learning classifiers can predict Gleason pattern 4 prostate cancer with greater accuracy than experienced radiologists.	2019	Eur Radiol	10.1007/s00330-019-06244-2	Excluded	wrong intervention	Zone-specific classifiers predict a Gleason pattern 4 component from PSA density, ADC, and maximum enhancement, which are established quantitative predictors.	batch-01
MED:31808980	MED	31808980	Multiparametric MRI-Based Radiomics for Prostate Cancer Screening With PSA in 4-10 ng/mL to Reduce Unnecessary Biopsies.	2019	J Magn Reson Imaging	10.1002/jmri.27008	Included		A multiparametric-MRI radiomics signature, combined with clinical factors, predicted prostate cancer in the PSA 4–10 ng/mL range with validation AUC 0.933.	batch-01
MED:31324828	MED	31324828	Pan-Renal Cell Carcinoma classification and survival prediction from histopathology images using deep learning.	2019	Sci Rep	10.1038/s41598-019-46718-3	Included		Deep learning on renal cell carcinoma slides extracted tumor-shape and nuclear features whose risk index was associated with survival, alongside subtype classification accuracies above 87%.	batch-01
MED:31428684	MED	31428684	Prediction of Recurrence-associated Death from Localized Prostate Cancer with a Charlson Comorbidity Index-reinforced Machine Learning Model.	2019	Open Med (Wars)	10.1515/med-2019-0067	Excluded	wrong intervention	Survival models use the Charlson Comorbidity Index and administrative clinical variables and do not discover a tumor biomarker.	batch-01
MED:31553660	MED	31553660	Radiologic-Radiomic Machine Learning Models for Differentiation of Benign and Malignant Solid Renal Masses: Comparison With Expert-Level Radiologists.	2019	AJR Am J Roentgenol	10.2214/ajr.19.21617	Included		Radiomic machine-learning models differentiated benign from malignant solid renal masses, and clear cell from other renal cell carcinoma subtypes, with reported sensitivity and specificity.	batch-01
MED:31283771	MED	31283771	Radiomics and machine learning of multisequence multiparametric prostate MRI: Towards improved non-invasive prostate cancer characterization.	2019	PLoS One	10.1371/journal.pone.0217702	Included		Radiomic texture features from T2-weighted and diffusion MRI discriminated Gleason 3+3 from higher-grade prostate cancer with an AUC of 0.88.	batch-01
MED:31640781	MED	31640781	Random forest-based modelling to detect biomarkers for prostate cancer progression.	2019	Clin Epigenetics	10.1186/s13148-019-0736-8	Included		A random-forest methylation classifier predicted aggressive prostate cancer (test AUC 95%, external AUCs 77% and 69%) and prioritized ZIC2 loss, which was independently associated with biochemical recurrence.	batch-01
MED:31850202	MED	31850202	Study Progress of Radiomics With Machine Learning for Precision Medicine in Bladder Cancer Management.	2019	Front Oncol	10.3389/fonc.2019.01296	Excluded	wrong publication type	This is a topical review of radiomics and machine learning in bladder cancer, kept for context rather than as an included primary study.	batch-01
MED:31098732	MED	31098732	The Classification of Renal Cancer in 3-Phase CT Images Using a Deep Learning Method.	2019	J Digit Imaging	10.1007/s10278-019-00230-2	Excluded	wrong outcome	A deep network classifies clear cell, papillary, and chromophobe renal cell carcinoma on CT and does not derive a biomarker signature.	batch-01
MED:30973779	MED	30973779	Unenhanced CT Texture Analysis of Clear Cell Renal Cell Carcinomas: A Machine Learning-Based Study for Predicting Histopathologic Nuclear Grade.	2019	AJR Am J Roentgenol	10.2214/ajr.18.20742	Included		Machine-learning selection of unenhanced-CT texture features predicted nuclear grade of clear cell renal cell carcinoma with an AUC of 0.714.	batch-01
MED:32526669	MED	32526669	A CT-based deep learning model for predicting the nuclear grade of clear cell renal cell carcinoma.	2020	Eur J Radiol	10.1016/j.ejrad.2020.109079	Excluded	wrong outcome	A CT deep-learning model classifies high versus low nuclear grade of clear cell renal cell carcinoma and does not derive a biomarker signature.	batch-01
MED:32468251	MED	32468251	A CT-based radiomics model to detect prostate cancer lymph node metastases in PSMA radioguided surgery patients.	2020	Eur J Nucl Med Mol Imaging	10.1007/s00259-020-04864-1	Included		A CT radiomics model predicted histologic lymph-node metastasis in recurrent prostate cancer, with a test AUC of 0.95 that exceeded node size.	batch-01
MED:33235893	MED	33235893	A review of current advancements and limitations of artificial intelligence in genitourinary cancers.	2020	Am J Clin Exp Urol		Excluded	wrong publication type	This is a topical review of artificial intelligence in genitourinary cancers, kept for context rather than as an included primary study.	batch-01
MED:32898525	MED	32898525	An overview of advances in multi-omics analysis in prostate cancer.	2020	Life Sci	10.1016/j.lfs.2020.118376	Excluded	wrong publication type	This is a topical review of multi-omics analysis in prostate cancer, kept for context rather than as an included primary study.	batch-01
MED:32905456	MED	32905456	Applications of radiomics in genitourinary tumors.	2020	Am J Cancer Res		Excluded	wrong publication type	This is a topical review of radiomics in genitourinary tumors, kept for context rather than as an included primary study.	batch-01
MED:32479253	MED	32479253	Artificial intelligence (AI) in urology-Current use and future directions: An iTRUE study.	2020	Turk J Urol	10.5152/tud.2020.20117	Excluded	wrong publication type	This is a topical review of artificial intelligence in urology, kept for context rather than as an included primary study.	batch-01
MED:31833725	MED	31833725	Artificial intelligence and neural networks in urology: current clinical applications.	2020	Minerva Urol Nefrol	10.23736/s0393-2249.19.03613-0	Excluded	wrong publication type	This is a topical review of artificial intelligence and neural networks in urology, kept for context rather than as an included primary study.	batch-01
MED:32205581	MED	32205581	Artificial intelligence driven next-generation renal histomorphometry.	2020	Curr Opin Nephrol Hypertens	10.1097/mnh.0000000000000598	Excluded	wrong publication type	This is a topical review of artificial intelligence for renal histomorphometry, kept for context rather than as an included primary study.	batch-01
MED:31926806	MED	31926806	Artificial intelligence for diagnosis and grading of prostate cancer in biopsies: a population-based, diagnostic study.	2020	Lancet Oncol	10.1016/s1470-2045(19)30738-7	Excluded	wrong outcome	The system detects, localizes, and Gleason-grades prostate cancer on biopsy slides at expert level and does not derive a new biomarker.	batch-01
MED:31901213	MED	31901213	Automated differentiation of benign renal oncocytoma and chromophobe renal cell carcinoma on computed tomography using deep learning.	2020	BJU Int	10.1111/bju.14985	Excluded	wrong outcome	A network segments kidney and tumor so that an established peak-enhancement ratio can separate oncocytoma from chromophobe renal cell carcinoma.	batch-01
MED:32222054	MED	32222054	Deep Learning Based on MRI for Differentiation of Low- and High-Grade in Low-Stage Renal Cell Carcinoma.	2020	J Magn Reson Imaging	10.1002/jmri.27153	Excluded	wrong outcome	A residual network classifies low versus high histologic grade of stage I–II renal cell carcinoma on MRI and does not derive a biomarker signature.	batch-01
MED:33177576	MED	33177576	Differentiation of low and high grade renal cell carcinoma on routine MRI with an externally validated automatic machine learning algorithm.	2020	Sci Rep	10.1038/s41598-020-76132-z	Included		MRI radiomic features selected by automated and hand-tuned machine learning predicted Fuhrman grade of renal cell carcinoma, with external AUCs of about 0.60.	batch-01
MED:33335285	MED	33335285	Integrative multi-omics analysis of muscle-invasive bladder cancer identifies prognostic biomarkers for frontline chemotherapy and immunotherapy.	2020	Commun Biol	10.1038/s42003-020-01491-2	Included		Integrative clustering of muscle-invasive bladder-cancer multi-omics derived a 42-gene basal–luminal panel associated with survival and with response to chemotherapy and PD-L1 blockade.	batch-01
MED:32737518	MED	32737518	Machine learning-based analysis of [<sup>18</sup>F]DCFPyL PET radiomics for risk stratification in primary prostate cancer.	2020	Eur J Nucl Med Mol Imaging	10.1007/s00259-020-04971-z	Included		Random-forest models of PSMA PET radiomic features predicted lymph-node involvement, metastasis, Gleason score ≥8, and extracapsular extension, with AUCs of 0.76–0.86.	batch-01
MED:32462799	MED	32462799	Multiparametric MRI Radiomic Model for Preoperative Predicting WHO/ISUP Nuclear Grade of Clear Cell Renal Cell Carcinoma.	2020	J Magn Reson Imaging	10.1002/jmri.27182	Included		A multiparametric MRI radiomic signature predicted high-grade clear cell renal cell carcinoma with a validation AUC of 0.842.	batch-02
MED:32330067	MED	32330067	Multiresolution Application of Artificial Intelligence in Digital Pathology for Prediction of Positive Lymph Nodes From Primary Tumors in Bladder Cancer.	2020	JCO Clin Cancer Inform	10.1200/cci.19.00155	Included		A deep-learning pathomic score from primary bladder-tumor histology predicted lymph-node metastasis with an AUC of 0.866 and stayed independently associated after clinicopathologic adjustment.	batch-02
MED:32002635	MED	32002635	Predicting the ISUP grade of clear cell renal cell carcinoma with multiparametric MR and multiphase CT radiomics.	2020	Eur Radiol	10.1007/s00330-019-06601-1	Included		Machine-learning models using multiparametric MR and CT radiomic features distinguished high- from low-grade clear cell renal cell carcinoma on internal and external validation.	batch-02
MED:33374569	MED	33374569	Preoperative Predicting the WHO/ISUP Nuclear Grade of Clear Cell Renal Cell Carcinoma by Computed Tomography-Based Radiomics Features.	2020	J Pers Med	10.3390/jpm11010008	Included		A CT radiomics score predicted WHO/ISUP nuclear grade in clear cell renal cell carcinoma, with a validation AUC of 0.84.	batch-02
MED:31321651	MED	31321651	Preoperative Prediction of Extracapsular Extension: Radiomics Signature Based on Magnetic Resonance Imaging to Stage Prostate Cancer.	2020	Mol Imaging Biol	10.1007/s11307-019-01405-7	Included		A T2-weighted MRI radiomics signature of 17 features predicted side-specific extracapsular extension in prostate cancer with a validation AUC of 0.821.	batch-02
MED:32481542	MED	32481542	Radiomics Applications in Renal Tumor Assessment: A Comprehensive Review of the Literature.	2020	Cancers (Basel)	10.3390/cancers12061387	Excluded	wrong publication type	This is a topical review of radiomics applications in renal tumor assessment, kept for context and not as an included primary study.	batch-02
MED:32060715	MED	32060715	Radiomics of computed tomography and magnetic resonance imaging in renal cell carcinoma-a systematic review and meta-analysis.	2020	Eur Radiol	10.1007/s00330-020-06666-3	Excluded	wrong publication type	This is a topical systematic review and meta-analysis of radiomics in renal cell carcinoma, kept for context and not as an included primary study.	batch-02
