record_id,study_label,title,year,journal,doi,tumor_site,tumor_site_detail,study_design,data_source,data_source_detail,n_analytic,n_unit,data_modality,data_modality_detail,ai_task,algorithm,input_features,biomarker_result,clinical_purpose,performance_metric,performance_value,validation_level,validation_detail,code_availability,data_availability,reporting_guideline,funding,conflicts_of_interest,key_finding,limitations_as_stated,other_key_outcomes,extractor_id,extracted_at,extraction_status,extraction_note,needs_review,pilot_batch
REC-AIBIOGU-000175,Huang2022,A Novel Artificial Intelligence-Powered Method for Prediction of Early Recurrence of Prostate Cancer After Prostatectomy and Cancer Drivers.,2022,JCO Clin Cancer Inform,10.1200/cci.21.00131,prostate,,Deep learning WSI morphometric score trained on TCGA-PRAD with university external validation,public_plus_own,"Training TCGA-PRAD WSIs n=243 (92 early BCR, 151 BCR-free ≥3y); external UW-Madison RP WSIs n=173",173,patients,digital_pathology,H&E whole-slide images tiled for multiscale CNN attention-based morphometric scoring,prognostic_prediction,Multiscale CNN feature extractor with attention-based tile weighting (AI-morphometric score),Slide-level AI-morphometric score from ROI heatmaps plus optional pathologic covariates,AI-morphometric score (AI-MS) for 3-year post-RP BCR,prognostic,AUC,External validation AUC 0.78 for 3-year BCR vs GGG AUC 0.62; combined AI-MS plus pathology AUC 0.84; GGG2/3 subgroup AUCs 0.84 and 0.81,external_cohort,Model trained on TCGA-PRAD and evaluated on independent UW-Madison RP archive without retraining.,no,NR,none_stated,NR,NR,CNN-derived morphometric scores from RP WSIs outperformed Gleason grade groups for 3-year BCR and highlighted ROI biomarker differences including TMEM173.,NR,"ROI-level IHC validation for Ki67, PD-L1, CC3, and immune markers in high- vs low-scored regions.",REV-ALCIDES-AI,2026-09-23,needs_review,"Appraisal notes source code was withheld pending patent approval, limiting reproducibility despite strong external validation.",yes,batch-03
REC-AIBIOGU-000176,Li2022,Development and Validation of a Radiomics Nomogram for Predicting Clinically Significant Prostate Cancer in PI-RADS 3 Lesions.,2022,Front Oncol,10.3389/fonc.2021.825429,prostate,,Single-institution PI-RADS 3 radiomics nomogram with internal train/test split,own_cohort,306 PI-RADS 3 patients (institution 1); training n=199 and test n=107 after random split,306,patients,radiology_imaging,T2WI and ADC radiomics with LASSO and logistic regression nomogram,diagnostic_prediction,LASSO radiomics selection with logistic regression; optional SMOTE for class balance in signature variant,Selected MRI radiomic features plus clinical covariates in radiomics nomogram,Radiomics nomogram (Rad-score) for csPCa in PI-RADS 3 lesions,diagnostic,AUC,Test-set nomogram AUC 0.884 (95% CI 0.831–0.937); SMOTE-augmented radiomics signature AUC 0.840 (95% CI 0.776–0.904),internal_holdout,Random split within single institution; no external multicenter validation reported.,NR,NR,none_stated,NR,NR,A radiomics-based nomogram improved csPCa detection among PI-RADS 3 lesions compared with radiomics signature alone on internal test data.,NR,SMOTE improved radiomics signature discrimination versus unbalanced training.,REV-ALCIDES-AI,2026-09-23,complete,,no,batch-03
REC-AIBIOGU-000178,Yan2021,Deep Learning with Quantitative Features of Magnetic Resonance Images to Predict Biochemical Recurrence of Radical Prostatectomy: A Multi-Center Study.,2021,Cancers (Basel),10.3390/cancers13123098,prostate,,Multicenter retrospective MRI deep-learning BCR model with internal and external validation,own_cohort,Primary cohort n=368 plus validation cohorts VC1 n=34 and VC2 n=83 from three centers,368,patients,radiology_imaging,Pre- and post-operative MRI quantitative radiomics/deep features for BCR-free survival,prognostic_prediction,Deep learning with quantitative MRI features combined in DRS-BCR score,Deep MRI quantitative feature score (DRS-BCR) with optional clinical combine model,DRS-BCR deep MRI prognostic score for BCR,prognostic,C-index,"Combined clinical-model C-index 0.802 (95% CI 0.758–0.846) in primary cohort; 3-year BCR AUC 0.84 (PC), 0.85 (VC1), 0.84 (VC2)",external_cohort,Model developed on primary multicenter cohort and evaluated on two additional center cohorts for time-dependent BCR discrimination.,NR,NR,none_stated,NR,NR,Deep MRI-based DRS-BCR score stratified BCR risk with consistent AUC across primary and two validation cohorts.,NR,"Comparison of pre-operative, post-operative, and combined clinical MRI models.",REV-ALCIDES-AI,2026-09-23,complete,Co-reported C-index and time-dependent AUC; C-index used as model-selection metric.,no,batch-03
REC-AIBIOGU-000180,Hiremath2021,"An integrated nomogram combining deep learning, Prostate Imaging-Reporting and Data System (PI-RADS) scoring, and clinical variables for identification of clinically significant prostate cancer on biparametric MRI: a retrospective multicentre study.",2021,Lancet Digit Health,10.1016/s2589-7500(21)00082-0,prostate,,Multicenter biparametric MRI deep-learning integrated nomogram vs PI-RADS and clinical nomograms,own_cohort,"Training 368 patients (PROSTATEx n=204, UH Cleveland n=126, Mount Sinai n=38); independent validation 224 (Cleveland Clinic n=151, LIJ n=73)",224,patients,radiology_imaging,"Biparametric MRI deep learning (DIN), PI-RADS (PIN), and clinical variables integrated in ClaD nomogram",diagnostic_prediction,Deep learning imaging nomogram integrated with clinical variables (ClaD),"ClaD integrated nomogram combining deep imaging, PI-RADS, and clinical predictors",ClaD integrated csPCa detection nomogram,diagnostic,AUC,"Independent validation AUC 0.81 (95% CI 0.76–0.85) for csPCa vs DIN 0.74 and PIN 0.76; RP subset BCR separation HR 5.92 (2.34–15.00, p=0.044)",external_multicenter,Training across three sites and validation on two independent sites with fixed model comparison to DIN and PIN.,yes,NR,none_stated,NR,NR,The ClaD integrated nomogram outperformed deep-imaging-only and PI-RADS-only nomograms for csPCa and showed significant BCR stratification in RP patients.,NR,Comparison against PBCG clinical risk calculator referenced in appraisal.,REV-ALCIDES-AI,2026-09-23,needs_review,Appraisal notes borderline PROBAST applicability due to inter-reader PI-RADS variability and mixed biopsy/RP reference standards.,yes,batch-03
REC-AIBIOGU-000181,Zheng2021,A Genomic-Clinicopathologic Nomogram for the Prediction of Lymph Node Invasion in Prostate Cancer.,2021,J Oncol,10.1155/2021/5554708,prostate,,TCGA genomic-clinicopathologic LNI nomogram with SMOTE-balanced internal validation,TCGA,TCGA-PRAD LNI vs non-LNI expression with SMOTE to balance 1:4.4 class ratio; five matched primary/LNI tissue pairs for hub-gene qPCR,NR,patients,transcriptomics,TCGA RNA-seq DEGs between LNI and non-LNI tumors,diagnostic_prediction,Support vector machine after SMOTE; genomic-clinicopathologic nomogram with Gleason grade,37-gene SVM LNI risk score plus Gleason grade in nomogram,37-gene SVM-based LNI risk score with nomogram,diagnostic,AUC,SMOTE-balanced training AUC 0.947 and validation AUC 0.901 for SVM; nomogram training AUC 0.946 and validation AUC 0.910,internal_split_only,SMOTE-balanced validation split from the same TCGA source rather than independent multicenter LNI cohort.,NR,NR,none_stated,NR,NR,A 37-gene SVM LNI score combined with Gleason grade yielded high internal discrimination for nodal involvement in TCGA.,Authors note lack of external multicenter validation.,Hub-gene expression differences validated in five matched primary/LNI sample pairs.,REV-ALCIDES-AI,2026-09-23,needs_review,Appraisal flags borderline validation because SMOTE validation remains within single TCGA source.,yes,batch-03
REC-AIBIOGU-000183,Damascelli2021,Advanced Imaging Analysis in Prostate MRI: Building a Radiomic Signature to Predict Tumor Aggressiveness.,2021,Diagnostics (Basel),10.3390/diagnostics11040594,prostate,,Exploratory single-center mpMRI radiomics pipeline for post-RP aggressiveness,own_cohort,102 consecutive mpMRI+RP patients screened; n=62 analyzed after exclusions with internal resampling,62,patients,radiology_imaging,"Multiparametric MRI radiomics (T2, DWI, ADC) with reproducibility-focused pipeline",classification_subtyping,Radiomics feature selection with internal resampling (signature accuracy reported),"Multiparametric MRI radiomic signature for GGG, pN, and EPE endpoints",mpMRI radiomic signature for tumor aggressiveness proxies,prognostic,accuracy,"Signature accuracy approximately 0.88 (GGG), 0.89 (pN), and 0.84 (EPE) in internal evaluation",internal_cv,Single-center exploratory design with internal resampling only; no external validation cohort.,NR,NR,none_stated,NR,NR,A reproducible mpMRI radiomics pipeline yielded moderate-to-high accuracy for pathologic aggressiveness markers in a small single-center cohort.,Exploratory single-center design requires external validation.,Inter-reader PI-RADS concordance with prostatectomy pathology.,REV-ALCIDES-AI,2026-09-23,needs_review,Appraisal notes small n=62 and absence of external validation with accuracy rather than AUC reporting.,yes,batch-03
REC-AIBIOGU-000184,Liang2021,A Nomogram Based on a Multiparametric Ultrasound Radiomics Model for Discrimination Between Malignant and Benign Prostate Lesions.,2021,Front Oncol,10.3389/fonc.2021.610785,prostate,,Retrospective multiparametric ultrasound radiomics with five-fold cross-validation,own_cohort,"112 patients with prostate lesions (54 PCa, 58 benign) undergoing mpUS before biopsy",112,patients,radiology_imaging,"B-mode, shear-wave elastography (SWE), and combined mpUS radiomics plus clinical factors",diagnostic_prediction,Radiomics with LASSO/feature selection and logistic models; five-fold CV,Combined clinical factors and mpUS radiomic features,Clinical-radiomics combined PCa detection model,diagnostic,AUC,Combined model AUC 0.90 vs radiomics 0.85 and clinical 0.84; training AUC 0.88 and validation AUC 0.84 reported for selected model,internal_cv,Five-fold cross-validation within single retrospective cohort.,NR,NR,none_stated,NR,NR,Combining clinical variables with mpUS radiomics improved PCa diagnosis versus either modality alone under cross-validation.,NR,Decision curve analysis favored the combined model.,REV-ALCIDES-AI,2026-09-23,complete,,no,batch-03
REC-AIBIOGU-000186,Vittrant2020,Identification of a Transcriptomic Prognostic Signature by Machine Learning Using a Combination of Small Cohorts of Prostate Cancer.,2020,Front Genet,10.3389/fgene.2020.550894,prostate,,Multi-cohort RNA-seq ML benchmark with random-forest BCR signature,multiple_public,TCGA-PRAD n=96 (≥60-month follow-up) plus VPCC n=23 (5 BCR events) for external check; 171 patients reprocessed uniformly,96,patients,transcriptomics,Bulk RNA-seq reprocessed from TCGA and VPCC with uniform pipeline,prognostic_prediction,Random forest selected among 13 benchmarked ML algorithms,"Three-gene BCR signature (JUN, HES4, PPDPF)",JUN-HES4-PPDPF random-forest BCR signature,prognostic,accuracy,Signature accuracy 74.2% (BER 27%) vs clinico-pathologic baseline 69.2% (BER 32%) on evaluated cohort,external_cohort,"Signature developed on TCGA-PRAD and tested on small VPCC cohort (n=23, five BCR events).",NR,NR,none_stated,NR,NR,A three-gene random-forest signature modestly outperformed standard clinico-pathologic variables for BCR prediction.,Need larger single-cohort validation; VPCC arm is very small.,Benchmark comparison of 13 ML algorithms with featureless control.,REV-ALCIDES-AI,2026-09-23,needs_review,"Appraisal highlights very small VPCC validation arm (n=23, five events) affecting precision of performance claims.",yes,batch-03
REC-AIBIOGU-000187,Zhang2020,Immune-Related Gene-Based Novel Subtypes to Establish a Model Predicting the Risk of Prostate Cancer.,2020,Front Genet,10.3389/fgene.2020.595657,prostate,,TCGA immune-gene consensus clustering with risk-group survival model,TCGA,TCGA-PRAD immune-related gene expression; consensus clusters C1–C4 (487 patients in survival analysis),487,patients,transcriptomics,Bulk RNA-seq with immunologically relevant gene subset and consensus clustering,risk_stratification,Consensus clustering plus PCA; log-rank survival classification into high-risk C3 vs low-risk groups,Four immune-based molecular subtypes (C1–C4) collapsed to C3 high-risk vs C1+C2+C4 low-risk,Immune-related consensus subtype risk grouping,risk_stratification,other,DFS log-rank p=0.04 across immune subtypes; C3 high-risk vs C1+C2+C4 low-risk separation on Kaplan-Meier curves,internal_split_only,Single TCGA-PRAD cohort without external replication of subtype survival separation.,NR,NR,none_stated,NR,NR,Immune-based consensus clustering identified a C3 subtype with worse DFS and distinct genomic/immune features including CLU CNA and TMPRSS2-ERG frequency.,NR,Immune infiltration differences and AR/TMPRSS2-ERG associations by subtype.,REV-ALCIDES-AI,2026-09-23,complete,,no,batch-03
REC-AIBIOGU-000190,Zhang2020,"Development of a Novel, Multi-Parametric, MRI-Based Radiomic Nomogram for Differentiating Between Clinically Significant and Insignificant Prostate Cancer.",2020,Front Oncol,10.3389/fonc.2020.00888,prostate,,Multicenter mpMRI radiomics csPCa vs ciPCa with internal and external validation,own_cohort,159 path-confirmed PCa patients: training n=54 and internal validation n=22 (center 1) plus external validation n=83 (center 2),159,patients,radiology_imaging,Multiparametric MRI radiomics with clinical-radiomic nomogram,diagnostic_prediction,Radiomics feature selection with logistic regression nomogram,MRI radiomics signature combined with clinical predictors,Radiomics nomogram discriminating csPCa from ciPCa,diagnostic,AUC,"Radiomics signature AUC 0.95 (training), 0.86 (internal validation), 0.81 (external validation); nomogram AUC 0.95 training and 0.93 internal validation",external_cohort,Independent external center cohort (n=83) plus smaller internal holdout from second center.,NR,NR,none_stated,NR,NR,MRI radiomics with nomogram achieved high csPCa discrimination in training and remained strong on an independent external validation cohort.,NR,Comparison between csPCa and ciPCa classification tasks.,REV-ALCIDES-AI,2026-09-23,complete,,no,batch-03
REC-AIBIOGU-000191,Xu2020,Radiomics Based on Multiparametric Magnetic Resonance Imaging to Predict Extraprostatic Extension of Prostate Cancer.,2020,Front Oncol,10.3389/fonc.2020.00940,prostate,,retrospective single-center cohort,own_cohort,"Peking Union Medical College Hospital; 95 patients with 115 lesions (49 EPE-positive, 66 EPE-negative) imaged at 3.0T mpMRI",33,samples,radiology_imaging,"Radiomic features from T2WI, DWI, ADC, and DCE; eight features retained",diagnostic_prediction,LASSO regression,mpMRI radiomic features for whole-tumor segmentations,mpMRI radiomics model for extraprostatic extension,diagnostic,AUC,"0.865 (95% CI 0.738-0.992; validation, 33 lesions); training AUC 0.919 (95% CI 0.861-0.978; 82 lesions). Validation accuracy 81.8%, sensitivity 71.4%, specificity 89.5%",internal_holdout,"Lesions randomly divided into training (82) and validation (33). Single center, single scanner, no external cohort.",NR,upon_request,none_stated,"National Natural Science Foundation of China (91859119, 81901742); Non-profit Central Research Institute Fund of CAMS (2019XK320028); Natural Science Foundation of Beijing Municipality (7192176); Central University Basic Scientific Research Business Expenses (3332018022); National Public Welfare Basic Scientific Research Project of CAMS (2019PT320008, 2018PT32003)","L. Zhao, L. Mao, and X. Li were employed by Deepwise AI Lab, Deepwise Inc. The remaining authors stated that the research was conducted in the absence of commercial or financial relationships that could be construed as a potential conflict of interest.","An eight-feature mpMRI LASSO radiomics model predicted pathologic extraprostatic extension with validation AUC 0.865, higher than the clinical model (AUC 0.658) and similar to the combined nomogram (AUC 0.857).","Single-center study with a small sample and no external validation; images from one scanner, so scanner heterogeneity was not assessed; subjective morphologic EPE features were not included in the nomogram.",Validation clinical-model AUC 0.658; combined nomogram AUC 0.857 (P=0.644 versus radiomics). Decision-curve analysis was reported on the internal validation group.,REV-ALCIDES-AI,2026-09-23,complete,Analytic N is the 33-lesion internal validation set that supports AUC 0.865. Decision-curve analysis was not coded as clinical utility because there was no external or prospective utility study.,no,batch-03
REC-AIBIOGU-000197,Drabovich2019,Multi-omics Biomarker Pipeline Reveals Elevated Levels of Protein-glutamine Gamma-glutamyltransferase 4 in Seminal Plasma of Prostate Cancer Patients.,2019,Mol Cell Proteomics,10.1074/mcp.ra119.001612,prostate,,multi-center case-control,own_cohort,"Murray Koffler Urologic Wellness Centre (Mount Sinai Hospital), University Health Network, and Calgary Prostate Cancer Centre. SRM verification in 152 prostate cancer and 67 negative-biopsy seminal plasma samples; ELISA in 228 seminal plasma and 80 serum samples. Shotgun data in PRIDE PXD007657.",NR,samples,proteomics,"Seminal plasma shotgun proteomics, SRM, and an in-house TGM4 ELISA",diagnostic_prediction,XGBoost over all 1- to 5-marker combinations with 10x10 stratified cross-validation; headline TGM4 result is an ELISA,"19 seminal plasma candidate proteins plus seminal KLK3, serum PSA, and age; primary reported marker is seminal plasma TGM4",Seminal plasma TGM4 (protein-glutamine gamma-glutamyltransferase 4),diagnostic,AUC,"0.66 (ELISA, seminal plasma, serum PSA >=4 ng/ml and age >=50)",internal_holdout,"TGM4 ELISA is described as an independent verification after discovery and SRM qualification, within the same multi-center recruitment. XGBoost panels used 10x10 stratified cross-validation on the SRM feature set. Not an external institution cohort.",NR,yes,none_stated,"Canadian Institutes of Health Research grant 285693 to E.P. Diamandis, K. Jarvi, and A.P. Drabovich; Prostate Cancer Canada RS2015-01 to A.P. Drabovich",NR,"Seminal plasma TGM4 measured by ELISA distinguished prostate cancer from negative biopsy with AUC 0.66 in men with serum PSA >=4 ng/ml and age >=50, and outperformed age and serum PSA in that comparison; serum TGM4 did not.",Only medium- to high-abundance seminal plasma proteins were evaluated; some negative-biopsy patients may have had missed cancer; Gleason score was used in place of 20-year survival.,XGBoost two-protein panel (TGM4 with PAEP) AUC 0.76 (95% CI 0.74-0.79). SRM TGM4 AUC 0.61. ELISA cutoff >1.74 ug/ml gave 92% specificity at 31% sensitivity. Three-protein panel AUC 0.73 and a four-protein panel plus serum PSA AUC 0.83 for high-grade prostate cancer.,REV-ALCIDES-AI,2026-09-23,needs_review,"Title result is the ELISA AUC 0.66. The subgroup sample size is given only in supplemental Table S19 and is not stated in the main text, so n_analytic is NR. The machine-learning panel is a separate axis.",yes,batch-03
REC-AIBIOGU-000198,Jeon2020,Temporal Stability and Prognostic Biomarker Potential of the Prostate Cancer Urine miRNA Transcriptome.,2020,J Natl Cancer Inst,10.1093/jnci/djz112,prostate,,Longitudinal urine miRNA cohort with random-forest aggressive PCa prediction,own_cohort,"149 PCa patients with urine miRNA profiling; training n=99 (50 high-risk GS>7, 49 low-risk GS6); validation n=40 (11 high-risk, 29 low-risk)",40,patients,transcriptomics,NanoString urine miRNA profiles from urinary cell sediments,risk_stratification,Random forest with intrastable miRNA feature selection,Intrastable urinary miRNAs reflecting tumor miRNA abundance,Urine miRNA random-forest aggressive PCa classifier,risk_stratification,AUC,0.74 (95% CI 0.55-0.92; independent validation cohort),external_cohort,"Training cohort n=99 with 10-times repeated five-fold cross-validation (mean AUC 0.72). Independent validation cohort n=40, AUC 0.74 (95% CI 0.55-0.92).",NR,NR,none_stated,Ontario Institute for Cancer Research and government of Ontario support.,NR,Longitudinal urine miRNA profiling showed within-person stability and supported a random-forest model for aggressive vs low-risk PCa applied to an independent validation set.,Large tightly defined populations needed to validate urine miRNA biomarkers for risk stratification.,Quantification of intra- vs inter-individual miRNA variability (ICC analyses).,REV-ALCIDES-AI,2026-09-23,needs_review,Analytic N is the independent validation cohort that supports AUC 0.74. The confidence interval is wide (0.55-0.92).,yes,batch-03
REC-AIBIOGU-000199,Harder2018,Tissue Phenomics for prognostic biomarker discovery in low- and intermediate-risk prostate cancer.,2018,Sci Rep,10.1038/s41598-018-22564-7,prostate,,retrospective cohort,own_cohort,"Ludwig Maximilian University of Munich radical-prostatectomy archive; Gleason score 6-7b; 90 patients, of whom 40 had PSA biochemical recurrence",90,patients,digital_pathology,"IHC whole-slide images quantifying CD8-positive cells, CD68-positive cells, and CD34-positive microvasculature around cancerous glands",prognostic_prediction,"k-nearest neighbor (k=5), support vector machine, and linear predictor, compared under leave-one-out cross-validation",Tissue phenes describing immune-cell and vessel spatial relations in the tumor microenvironment; models used sets of 8 or 20 phenes,Multi-phene tissue signature of CD8-positive and CD68-positive cells with local microvasculature,prognostic,accuracy,88% (leave-one-out cross-validation; 5-nearest neighbor on 20 phenes and linear predictor on 8 phenes),internal_cv,Leave-one-out cross-validation on the same 90-patient cohort. No external cohort.,NR,upon_request,none_stated,NR,"N. Harder, M. Athelogou, H. Hessel, N. Brieu, M. Yigitsoy, J. Zimmermann, M. Baatz, G. Binnig, G. Schmidt, and R. Huss are or were employees of Definiens AG.","Combining tissue phenes with supervised classifiers predicted prostate-cancer progression with leave-one-out accuracy of 88%, above univariate phene accuracies of up to 83.3% and above Gleason-score prediction.","Authors state that with n=90 the approach is prone to overfitting, which is why leave-one-out cross-validation was used. For some patients only an approximated 36-month disease-free interval was available.",Top univariate phene (CD8-positive to CD34-positive ratio in the tumor microenvironment) leave-one-out accuracy 83.3% (log-rank p<3.05e-7). SVM linear kernel accuracy 87% on the 20-phene set.,REV-ALCIDES-AI,2026-09-23,needs_review,Authors explicitly warn that the n=90 analysis is prone to overfitting. The 88% accuracy was reached by two different models (5-nearest neighbor on 20 phenes and a linear predictor on 8 phenes).,yes,batch-03
REC-AIBIOGU-000200,Neuhaus2013,Seminal plasma as a source of prostate cancer peptide biomarker candidates for detection of indolent and advanced disease.,2013,PLoS One,10.1371/journal.pone.0067514,prostate,,open-label multi-center case-control,own_cohort,"Three centers; 125 patients (70 prostate cancer, 21 benign prostatic hyperplasia, 25 chronic prostatitis, 9 healthy controls). Diagnostic test set: 48 prostate cancer, 12 BPH, 11 chronic prostatitis, and 4 healthy controls.",75,samples,proteomics,Capillary electrophoresis mass spectrometry peptide profiles of seminal plasma,diagnostic_prediction,Support vector machine,Stepwise 21-peptide and 5-peptide seminal plasma signatures,21PP and 5PP seminal plasma peptide signatures for prostate cancer detection,diagnostic,AUC,"75% (95% CI 64%-83%, P=0.0001; independent test set). Sensitivity 83% (95% CI 70%-93%); specificity 67% (95% CI 46%-83%)",internal_holdout,SVM signatures were trained on a discovery cohort (training AUC 100% for 21PP and 99% for 5PP) and applied to an independent test set from the same study. Not an external multi-institutional cohort.,NR,yes,none_stated,German Ministry of Economy and Technology BMWi grants KF0362802MD8 and EP110141. No additional external funding.,"E. Schiffer and J. Siwy are employees of Mosaiques Diagnostics GmbH. Authors state there are no patents, products in development, or marketed products to declare.","A stepwise seminal plasma peptide signature detected prostate cancer in an independent test set with AUC 75%, sensitivity 83%, and specificity 67%, similar to PSA in that comparison.",Restricted sample size was the major limitation. Authors state that prospective validation is still required.,"An 11-peptide panel for advanced versus organ-confined disease had validation sensitivity 80% and specificity 82%, with AUC 83% (95% CI 66%-94%) in a preliminary validation set. Discovery training AUCs near 100% are not the test-set result.",REV-ALCIDES-AI,2026-09-23,complete,Analytic N is the 75-sample independent test set for the diagnostic AUC. Primary axis is prostate-cancer detection; the advanced-disease panel is secondary.,no,batch-03
REC-AIBIOGU-000201,Cima2011,Cancer genetics-guided discovery of serum biomarker signatures for diagnosis and prognosis of prostate cancer.,2011,Proc Natl Acad Sci U S A,10.1073/pnas.1013699108,prostate,,Mouse glycoproteomics discovery with human serum glycoprotein ML for PTEN status,public_plus_own,Pten cKO vs wild-type mouse prostate/serum N-glycoproteomics plus human sera/tissue cohort n=99 (locPCa vs BPH),99,patients,proteomics,Enriched N-linked glycoproteomics with machine-learning regression on human samples,diagnostic_prediction,Machine-learning predictive regression models (methods reference computational modeling pipeline),N-glycosite peptide features prioritized from mouse PTEN-loss discovery screen,Glycoproteomic panel predicting tissue PTEN status,diagnostic,NR,NR,internal_split_only,Human n=99 cohort used to build/test PTEN-status models after mouse discovery; independent external cohort not described in slice.,NR,NR,none_stated,NR,NR,Integrating Pten-deficient mouse glycoproteomics with human serum/tissue profiling yielded ML models linking glycoprotein features to PTEN status.,NR,Hypothesis-generation workflow from genetically engineered mouse models to clinical specimens.,REV-ALCIDES-AI,2026-09-23,needs_review,Slice describes modeling approach but does not report numeric PTEN-prediction performance.,yes,batch-03
REC-AIBIOGU-000203,Zhou2026,Pentachlorophenol enhances bladder cancer cell invasion through altered protein stability,2026,iScience,10.1016/j.isci.2026.117357,bladder_urothelial,,translational/bioinformatic (in vitro functional assays + bioinformatic/machine-learning prognostic modeling + molecular docking/dynamics),multiple_public,"TCGA-BLCA (training, 19 normal + 411 tumor); external validation in 4 independent GEO cohorts: GSE13507, GSE31684, GSE32894, GSE5287; plus in vitro T24/SW780 cell line experiments (not part of ML model)",411,patients,transcriptomics,Bulk RNA-seq (TCGA-BLCA training + 4 GEO validation cohorts); molecular docking/dynamics simulation as orthogonal in silico validation,prognostic_prediction,101 machine learning algorithm combinations for survival modeling; selected model: Random Survival Forest + Stepwise Cox [both] (RSF+StepCox[both]),"58 BLCA-PCP overlapping target genes (from intersection of 262 predicted PCP targets and 1580 BLCA-related genes), reduced via ML to 3-gene signature","PCP-related score (PCPRS), 3-gene signature: EGFR, MAP2K1, NFE2L2",prognostic,C-index,"Best model mean C-index 0.615 across training+validation cohorts; TCGA-BLCA training: 10-fold CV C-index 0.608 (95% CI 0.599-0.617), bootstrap optimism-corrected C-index 0.606 (95% CI 0.597-0.614); external GEO cohorts moderate but consistent (exact per-cohort values not given as plain text numbers); meta-analysis pooled HR (continuous) 2.04 (95% CI 1.66-2.51), pooled HR (binary) 1.82 (95% CI 1.47-2.26)",external_multicenter,"Training in TCGA-BLCA (n=411); two rounds of internal validation within TCGA-BLCA (10-fold CV; 1000x bootstrap); external validation in 4 independent public GEO cohorts. Per appraisal_note, applicability is borderline: the prognostic model/PCPRS is validated on public cohorts with no PCP exposure data, decoupled from the actual PCP-exposure biomarker question anchoring the paper's title/abstract.",yes,yes,none_stated,NR,none_declared,"A three-gene PCPRS signature (EGFR, MAP2K1, NFE2L2), selected from 101 ML algorithm combinations (best mean C-index 0.615), was associated with poor overall survival across TCGA-BLCA and four independent GEO cohorts (pooled HR 1.82-2.04); mechanistically, environmentally relevant PCP concentrations enhanced BLCA cell invasion by altering the protein stability of these three targets.","PCP binding to EGFR/MAP2K1/NFE2L2 predicted computationally, not experimentally validated; molecular machinery underlying stability changes undefined; prognostic analyses conducted in public BLCA cohorts lacking PCP exposure data, so the 3-gene signature should be interpreted as a prognostic association rather than an exposure-specific biomarker; experimental evidence limited to 2 cell lines under acute exposure.","Individual-gene meta-analysis (5 BLCA cohorts): pooled HR 1.83 EGFR, 1.75 MAP2K1, 0.59 NFE2L2. Molecular docking/MD simulations: PCP binding affinities to EGFR/MAP2K1/NFE2L2 approximately -5.30, -6.59, -6.27 kcal/mol. Functional knockdown/overexpression experiments confirm EGFR, MAP2K1, NFE2L2 mediate PCP-induced invasion.",REV-ALCIDES-AI,2026-09-23,needs_review,"Primary AI/ML axis extracted is the PCPRS prognostic gene signature (only element matching the SR's AI-biomarker scope); the paper's own narrative anchor is the mechanistic PCP-invasion finding, which is not itself an AI/ML biomarker discovery. validation_level/validation_detail describe the real design (public-cohort validation decoupled from PCP exposure), consistent with the inherited appraisal_note.",yes,pilot
REC-AIBIOGU-000206,Wang2026,Epigenomics-Guided Multi-Omics Integration Uncovers a Lipid-Metabolic Signature with Translational Utility in Bladder Cancer.,2026,Comput Struct Biotechnol J,10.34133/csbj.0139,bladder_urothelial,,TCGA BLCA random-forest prognostic signature with in vitro validation,TCGA,TCGA-BLCA discovery with random-forest reduced 25-gene signature; functional assays in BLCA cell lines,NR,patients,transcriptomics,Bulk RNA-seq with Boruta feature selection and random-forest survival modeling,prognostic_prediction,Random forest after Boruta feature selection,25-gene BLCA prognostic signature,25-gene random-forest BLCA survival signature,prognostic,HR,Stage 3 high-risk vs low-risk HR 2.83 (P=0.007); stage 4 HR 1.72 (P=0.027); TP53-mutant high-risk HR 2.75 (P<0.00001),internal_split_only,Signature refit on full TCGA discovery cohort without independent external survival cohort in slice.,NR,NR,none_stated,NR,NR,A 25-gene random-forest signature stratified BLCA survival with stage- and mutation-dependent hazard ratios.,NR,Colony formation and migration assays after signature-related functional follow-up.,REV-ALCIDES-AI,2026-09-23,complete,,no,batch-03
